"speciesEN","Band.ID","n_detections","n_sites","shannon_entropy","effective_n_sites","pielou_evenness","tideCategory"
"Pacific Golden-Plover","6318618",21253,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318619",55896,4,1.50816111763587,4.51841431774396,1.08790828263741,"All"
"Pacific Golden-Plover","6318620",152580,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Pacific Golden-Plover","6318621",69313,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318624",60456,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318625",3553,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pacific Golden-Plover","6318626",40889,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pacific Golden-Plover","6318627",81063,7,1.50816111763587,4.51841431774396,0.775041498379583,"All"
"Pacific Golden-Plover","6318629",463615,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Pacific Golden-Plover","6318630",19639,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Pacific Golden-Plover","6318633",6258,4,1.50816111763587,4.51841431774396,1.08790828263741,"All"
"Pacific Golden-Plover","6318635",14633,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pacific Golden-Plover","6318799",11298,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pied Stilt","8295770",309519,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Pied Stilt","8295772",58935,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pied Stilt","8295773",6840,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Pied Stilt","8295774",106145,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Pied Stilt","8295775",5739,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pied Stilt","8295776",396743,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Red-necked Avocet","8295778",13728,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Red-necked Avocet","8295780",44063,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Red-necked Avocet","8295781",52419,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Bar-tailed Godwit","7176824",998,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Bar-tailed Godwit","7394017",11,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Bar-tailed Godwit","7394026",5136,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Bar-tailed Godwit","7394027",5020,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Bar-tailed Godwit","7394032",269,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Bar-tailed Godwit","8345053",3969,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Curlew Sandpiper","4281407",7474,6,1.57533547097824,4.83236246358462,0.879211466736068,"Nocturnal_Low"
"Curlew Sandpiper","4281408",3224,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Curlew Sandpiper","4281409",5630,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Curlew Sandpiper","4281410",8466,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Curlew Sandpiper","4281420",8966,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Eurasian Whimbrel","8345054",775,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Eurasian Whimbrel","8345055",10,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Far Eastern Curlew","10118806",34509,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Masked Lapwing","8295845",20,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318617",39313,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318618",1949,4,1.57533547097824,4.83236246358462,1.13636433585839,"Nocturnal_Low"
"Pacific Golden-Plover","6318619",5423,3,1.57533547097824,4.83236246358462,1.43393214078105,"Nocturnal_Low"
"Pacific Golden-Plover","6318620",17683,4,1.57533547097824,4.83236246358462,1.13636433585839,"Nocturnal_Low"
"Pacific Golden-Plover","6318621",5317,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318624",2628,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318625",269,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318626",4591,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318627",7922,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pacific Golden-Plover","6318629",78908,6,1.57533547097824,4.83236246358462,0.879211466736068,"Nocturnal_Low"
"Pacific Golden-Plover","6318630",372,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318633",952,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318635",2574,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pacific Golden-Plover","6318799",535,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pied Stilt","8295770",69610,2,1.57533547097824,4.83236246358462,2.27272867171678,"Nocturnal_Low"
"Pied Stilt","8295772",23680,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pied Stilt","8295773",839,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
"Pied Stilt","8295774",11523,5,1.57533547097824,4.83236246358462,0.978810961769698,"Nocturnal_Low"
"Pied Stilt","8295775",805,1,1.57533547097824,4.83236246358462,Inf,"Nocturnal_Low"
